No,SKU,Urun Adi,Sorun,Ana Kategori,Mevcut Kategoriler
87,9805.SDE84.00,Simag SDE84 Küp Buz Makinesi 82 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
88,9805.SPN12.50,Simag SPN125 Kar Buz Makinesi 120 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
89,9805.SPN25.50,Simag SPN255 Kar Buz Makinesi 200 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
90,9805.SPN40.50,Simag SPN405 Kar Buz Makinesi 320 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
91,9912.SPR80.00,Simag SPR80 Kar Buz Makinesi 70 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
92,9805.SV145.00,Simag SV145 Küp Buz Makinesi 154 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
93,9805.SV225.00,Simag SV225 Küp Buz Makinesi 240 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
94,9805.SV325.00,Simag SV325 Küp Buz Makinesi 320 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
95,9805.SV545.00,Simag SV545 Küp Buz Makinesi 465 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
96,,Vitrifrigo FG10i DGT Süt Soğutucu Dolap 4 LT,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
97,,"Vitrifrigo FG20i DGT Süt Soğutucu Dolap 2x7,5 LT",Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
98,,"Vitrifriho FG16i DGT Süt Soğutucu Dolap 2x4,5 LT",Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
99,VHZB-12C,"Vosco Buz Makinesi 12 Kg Set Üstü, Gri",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
100,VHZB-12CK,"Vosco Buz Makinesi 12 Kg Set Üstü, Kırmızı",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
101,VHZB-12CS,"Vosco Buz Makinesi 12 Kg Set Üstü, Siyah",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
102,Vsc-23C,Vosco Buz Makinesi 23 Kg Kapasiteli Vsc-23C,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
103,Vsc-23C-G,Vosco Buz Makinesi 23 Kg Kapasiteli Vsc-23C Gold,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
104,VSC-35C,Vosco Buz Makinesi 35 Kg/Gün Gurme VSC-35C,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
105,VHZB-20A,"Vosco VHZB-20A Set Üstü Buz Makinesi, 20 kg/gün",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
106,,"Vosco VLJH-12 Meyve Suyu Dispanseri, 12 lt",Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,"Tüm Ürünler, Fırsat Reyonu"
107,,"Vosco VLJH-20 Meyve Suyu Dispanseri, 20 lt",Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,"Tüm Ürünler, Fırsat Reyonu"
108,VCS-150C,Vosco VSC-150C Aura Seri Buz Makinesi 150 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
109,VCS-200C,Vosco VSC-200C Aura Seri Buz Makinesi 200 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
110,VCS-250C,Vosco VSC-250C Aura Seri Buz Makinesi 250 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
111,VSC-25C,Vosco VSC-25C Aura Seri Tezgahaltı Buz Makinesi 25 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
